Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_3,Healthcare_1,Helthcare_2,Shops_1,Price,Ecology_2_B,Ecology_3_B,Shops_2_B
7161,129,3.0,80.91644470821366,52.86178492766021,8.0,2,5.0,1961,0.020741326,24,5,1340.0,2,5,308656.41967736284,True,True,True
8576,4,2.0,53.17979115459322,50.64379669225085,5.0,5,12.0,1976,0.042031587,37,84,900.0,2,5,308108.23387345177,True,True,True
3486,62,1.0,33.07180726663486,22.237242127160783,6.0,2,9.0,1979,0.037177818,52,1,900.0,1,7,154480.96795636456,True,True,True
8007,173,2.0,44.57722076629535,31.53370069059577,5.0,3,5.0,1969,0.081943463,20,20,900.0,1,4,301309.74408345786,True,True,True
6728,37,4.0,99.15406269149317,66.56719469586398,9.0,18,22.0,1985,0.127811589,28,5,320.0,1,3,362108.4338133904,True,True,True
12307,60,1.0,40.0649141598976,38.73328804612138,8.0,13,14.0,1974,0.007658515,35,56,900.0,3,19,160810.5466807867,True,True,True
5474,111,2.0,63.79106395448328,40.75758734473419,10.0,16,22.0,2006,0.093442564,23,5,900.0,2,4,91594.31553801152,True,True,True
9629,124,3.0,78.27522650652459,58.33087559633692,6.0,9,9.0,1953,0.16909109,19,10,900.0,2,5,387904.1363197119,True,True,True
12774,157,2.0,62.747509162160966,28.19681269651848,8.0,5,10.0,1956,0.0,30,87,900.0,5,5,555661.9439687196,True,True,True
15626,138,1.0,36.32188410854477,21.862420785820184,5.0,2,9.0,1973,0.195781053,23,6,900.0,3,2,165911.1630485483,True,True,True
9480,37,2.0,57.55610181479205,32.830743185442394,8.0,6,16.0,1982,0.232205084,24,1,80.0,0,3,254688.11688666075,True,True,True
1414,147,1.0,37.83656091122346,21.208419887190505,9.0,11,14.0,1973,0.319809354,25,16,900.0,5,8,198633.62900969788,True,True,True
1849,66,1.0,42.01979508688624,21.14737194085171,13.0,4,5.0,1965,0.111627393,50,8,900.0,2,3,180450.68204402085,True,True,True
16780,42,1.0,40.89352700876577,18.251862358875485,10.0,4,24.0,2007,0.158249043,21,0,900.0,1,0,171531.56915459645,True,True,True
16752,1,3.0,79.07867281708461,32.781260192155735,1.0,2,17.0,1977,0.007122317,1,0,900.0,0,1,200932.350329152,True,True,True
2304,94,1.0,35.562393798612455,17.52672637150672,7.0,8,9.0,1972,0.282797669,33,2,900.0,0,6,170703.8672587651,True,True,True
6846,27,1.0,52.08443546914479,32.781260192155735,6.0,13,17.0,1977,0.072157581,2,1,900.0,0,0,155463.0920325192,True,True,False
10593,41,3.0,87.92496243252934,44.98482359836896,12.0,13,14.0,2013,0.175054867,36,3,900.0,1,0,202696.04613505164,True,True,True
2556,23,1.0,43.04351178074749,32.781260192155735,1.0,8,25.0,2014,0.075778755,6,3,900.0,0,2,124902.5557874368,True,True,True
3849,23,1.0,44.669037850982335,32.781260192155735,1.0,5,17.0,1977,0.014072961,2,0,900.0,0,0,80356.31884143525,True,True,True
11630,58,1.0,30.961867784280063,15.168643858942186,6.0,3,12.0,1973,0.31019913,11,1,900.0,0,0,117941.28675294651,True,True,True
8364,63,1.0,41.27553778947208,23.06457716025959,8.0,4,12.0,1983,0.23861713,26,6,705.0,3,6,181842.46125624425,True,True,True
14385,75,1.0,47.5445205838825,21.48471354712696,8.0,7,17.0,1979,0.050755569,24,1,145.0,0,1,250434.86992014808,True,True,True
5661,147,3.0,75.49491995109061,49.02885620577228,7.0,7,12.0,1966,0.319809354,25,16,900.0,5,8,422637.794709854,True,True,True
3157,81,4.0,90.62047287074104,62.28324321665264,8.0,7,10.0,1960,0.319809354,25,16,900.0,5,8,526817.5633390079,True,True,True
3585,110,2.0,55.681776413210144,32.43445241809937,8.0,12,12.0,1995,0.033493708,66,1,1322.0,3,8,223528.9825796605,True,True,True
3524,6,1.0,38.50640717439108,32.781260192155735,1.0,9,17.0,1977,0.243204519,5,0,540.0,0,0,128959.85248764248,True,True,True
5643,9,1.0,36.47008559970377,20.80264547481964,9.0,5,12.0,2008,0.161531741,25,1,30.0,2,4,144224.82073375766,True,True,True
1140,45,1.0,40.17818859271135,19.442491727110763,9.0,10,12.0,1968,0.014423114,19,4,900.0,0,3,211360.70205978784,True,True,True
9393,23,1.0,37.36522922830802,32.781260192155735,1.0,3,3.0,1977,0.034656082,0,0,900.0,0,0,91945.04570153714,True,True,True
7381,5,2.0,45.08810816541614,27.268514558279524,6.0,3,9.0,1971,0.150817539,16,4,900.0,4,5,228628.22570789303,True,True,True
11983,5,2.0,56.58182521155618,30.242432189590268,8.0,6,14.0,1977,0.150817539,16,4,900.0,4,5,298194.5131791228,True,True,True
16429,57,3.0,64.86981283880701,63.55496139752924,8.0,6,9.0,1977,0.133215333,49,3,1406.0,3,4,291872.4137006557,True,True,False
2286,99,2.0,47.304765674086,28.737214919513068,6.0,9,9.0,1972,0.012338886,35,1,900.0,2,4,188832.70553528785,True,True,True
13235,77,1.0,38.50541669818168,25.63626519010819,7.0,12,12.0,1977,6.99893e-05,46,1,240.0,1,16,174776.0316673406,True,True,True
7285,5,1.0,34.1855157858216,24.583011922154284,5.0,2,5.0,1968,0.150817539,16,4,900.0,4,5,144605.50562142633,True,True,True
11919,11,1.0,40.531647898498285,21.9670204784869,10.0,12,16.0,1982,0.0001696759999999,36,0,900.0,1,1,165302.1305422592,True,True,True
11507,61,2.0,52.67851029749587,33.43406350618041,8.0,12,17.0,2003,0.300322518,52,6,900.0,1,9,295873.5506603369,True,True,True
4758,23,2.0,65.19410456757899,32.781260192155735,1.0,4,17.0,1977,0.075778755,6,3,900.0,0,2,158591.79176787275,True,True,True
897,111,4.0,98.30504001612388,63.95227439055778,14.0,3,17.0,2003,0.135649789,46,6,350.0,3,11,474500.5855912774,True,True,True
10807,120,3.0,58.96424457585272,39.54078470321807,6.0,6,9.0,1976,0.341071945,27,48,900.0,3,11,86480.95622349638,True,True,True
13616,27,1.0,37.34050780705346,37.02463055813804,10.0,8,17.0,2017,0.211401214,9,0,900.0,0,1,108540.77296972286,True,True,True
16163,101,2.0,51.88510468106382,34.02489830961289,9.0,9,12.0,1968,0.225824954,41,7,1548.0,3,2,230372.6610038333,False,True,True
12715,101,2.0,44.83212460780064,27.25056326142168,5.0,4,5.0,1964,0.225824954,41,7,1548.0,3,2,177535.3737452566,False,True,True
2357,32,1.0,31.828479974777355,15.222565328396248,5.0,5,5.0,1972,0.135649789,46,6,350.0,3,11,170343.755036283,True,True,True
15484,21,1.0,41.49833922721908,22.398630947757265,8.0,3,14.0,1991,0.194489265,47,3,125.0,3,5,165446.79634548828,True,True,True
16695,23,1.0,36.93154472981459,32.781260192155735,1.0,8,17.0,1977,0.075778755,6,3,900.0,0,2,123225.90337009088,True,True,True
14717,21,1.0,37.57287309620049,23.111218325267465,6.0,5,6.0,1962,0.034331497,25,3,900.0,0,4,178032.89265551206,True,True,True
13145,58,2.0,49.87163719238979,31.12761470934172,6.0,3,9.0,1969,0.1489038909999999,9,1,1430.0,3,2,152555.76054157945,True,True,True
7028,111,2.0,54.39289966861579,30.7920767153382,8.0,15,17.0,1990,0.0,36,2,900.0,0,2,214439.61236821147,True,True,True
6392,27,3.0,49.02974651193822,32.781260192155735,0.0,17,25.0,2016,0.072157581,2,1,900.0,0,0,138397.35712228325,True,True,False
15456,140,2.0,47.78159524753983,30.780010059740327,5.0,4,5.0,1960,0.23861713,26,6,705.0,3,6,204610.6486302805,True,True,True
12734,23,3.0,79.54106882647676,46.14640658027075,12.0,7,17.0,2011,0.075778755,6,3,900.0,0,2,145255.444043028,True,True,True
2497,6,3.0,80.98307746964342,49.86671383605175,12.0,17,17.0,2011,0.243204519,5,0,540.0,0,0,212387.35341070392,True,True,True
4496,7,3.0,73.44184771327531,46.42188931761016,9.0,8,16.0,2012,0.130617806,39,9,900.0,1,9,199179.72589465068,True,True,True
9544,46,1.0,36.136757233069375,21.140933803727336,5.0,3,5.0,1968,0.0,47,0,1145.0,3,5,173393.07096786812,True,True,True
12997,4,3.0,75.12838929239344,52.754245789960834,8.0,9,9.0,1956,7.81528e-05,22,2,1046.0,3,23,574631.3340507058,True,True,True
13189,11,2.0,46.83267904056476,28.48489134073225,6.0,7,9.0,1974,0.0001696759999999,36,0,900.0,1,1,210486.25913632664,True,True,True
8871,91,1.0,31.6916566544536,20.10851734581756,5.0,1,5.0,1965,0.000995363,42,1,900.0,1,5,140029.71954866382,True,True,True
14497,30,3.0,80.82081357532594,32.781260192155735,10.0,3,3.0,2016,7.81528e-05,22,2,1046.0,3,23,187612.01071040452,True,True,True
8746,0,3.0,65.75625669498976,46.31415111007102,6.0,2,9.0,1969,0.319809354,25,16,900.0,5,8,293122.5288732056,True,True,True
5720,27,2.0,66.57716253070629,32.781260192155735,1.0,10,17.0,1977,0.017647053,2,0,900.0,0,0,187907.0671551425,True,True,True
10773,77,3.0,79.1958250694062,44.42106238405697,10.0,16,17.0,1984,0.298204575,16,3,900.0,1,3,322048.43399028893,True,True,True
13232,23,2.0,61.42259578595206,60.242931325402,1.0,14,25.0,1977,0.075778755,6,3,900.0,0,2,162052.06450784186,True,True,True
5594,23,3.0,105.47925641023848,32.781260192155735,1.0,16,25.0,1977,0.075778755,6,3,900.0,0,2,245260.2310071209,True,True,True
7944,23,2.0,62.485260284906616,32.781260192155735,1.0,23,25.0,1977,0.075778755,6,3,900.0,0,2,166176.55791809937,True,True,True
2881,85,3.0,72.12006654074001,47.89626152927641,10.0,9,16.0,1982,0.037177818,52,1,900.0,1,7,290525.2235739356,True,True,True
5112,6,2.0,63.59173987343626,0.7955394676818128,10.0,17,17.0,2014,0.243204519,5,0,540.0,0,0,174741.9980609786,True,True,True
12709,6,2.0,65.22453290111818,32.781260192155735,0.0,15,17.0,1977,0.243204519,5,0,540.0,0,0,173654.55177500538,True,True,True
11018,56,3.0,67.42451318833426,42.97265260262725,8.0,2,16.0,1982,0.035145267,42,3,900.0,0,3,334325.6439923818,True,True,True
739,84,4.0,102.52227025853406,74.51346247276857,9.0,4,5.0,1961,0.149666373,22,2,900.0,4,1,415574.1158191548,True,True,True
6119,67,2.0,48.426216762076976,28.11000461078257,5.0,3,9.0,1978,0.0077202819999999,38,2,900.0,0,4,219765.0281427781,True,True,True
1037,48,3.0,62.34636249335721,46.48336522413434,6.0,2,12.0,1982,0.041124634,46,5,900.0,1,10,296954.4462646551,True,True,True
3794,143,2.0,53.0697058876927,30.643958259061694,10.0,7,16.0,1978,0.049863387,18,9,75.0,3,1,372616.4560178341,True,True,True
5041,66,1.0,41.67841816722965,23.57421278293053,9.0,5,14.0,1973,0.111627393,50,8,900.0,2,3,208885.9089987704,True,True,True
810,11,1.0,40.27664954105588,20.699972288693687,7.0,9,9.0,1979,0.038692987,28,1,1015.0,2,5,157759.0265475383,True,True,True
15914,63,2.0,43.98014287359924,29.57674089257892,5.0,6,12.0,1971,0.23861713,26,6,705.0,3,6,254391.27332749648,True,True,True
8261,57,1.0,40.945753903743096,22.586388366420973,9.0,8,16.0,1979,0.133215333,49,3,1406.0,3,4,183295.1326478005,True,True,False
4218,88,1.0,42.61479742870434,32.781260192155735,10.0,13,20.0,2015,0.127375905,43,3,900.0,3,9,221782.00220471376,True,True,True
16407,31,1.0,35.461751545834545,19.262116728102672,6.0,2,5.0,1961,0.151346216,32,10,830.0,4,1,183658.92522643995,True,False,True
9509,9,2.0,60.90017774572223,57.196914423384726,1.0,2,11.0,1977,0.161531741,25,1,30.0,2,4,166221.47021029654,True,True,True
5284,27,4.0,119.91498998118117,78.5188744426096,13.0,8,12.0,2015,0.072157581,2,1,900.0,0,0,221374.05729278224,True,True,False
15522,21,2.0,52.73715017140847,31.98723385641848,8.0,11,17.0,1993,0.194489265,47,3,125.0,3,5,208896.49584913743,True,True,True
9529,1,1.0,41.75375025485239,32.781260192155735,1.0,15,17.0,1977,0.007122317,1,0,900.0,0,1,135630.04564263002,True,True,True
15216,53,2.0,59.26241529167685,37.20327055790678,10.0,11,17.0,2016,0.049637257,34,0,229.0,1,3,308901.3520000765,True,True,True
13744,163,3.0,71.97240857078397,47.22220255570954,7.0,9,12.0,1991,0.007658515,35,56,900.0,3,19,415613.5584305778,True,True,True
8423,96,1.0,41.88884542071197,22.447228441092086,8.0,10,14.0,1995,0.041116354,53,4,900.0,1,4,174939.5373207675,True,True,True
11249,200,3.0,107.5348209579678,63.51612091224393,12.0,6,16.0,1997,0.0,33,1,900.0,2,5,587987.4021043336,True,True,True
16007,53,3.0,73.63578631797326,44.882855280678456,7.0,12,12.0,1981,0.049637257,34,0,229.0,1,3,375533.6643054875,True,True,True
10703,78,1.0,45.854822033845366,40.112190216663,10.0,17,24.0,2009,0.092290642,21,2,165.0,1,2,212021.2582513829,True,True,True
6962,27,2.0,44.01666960789737,27.889288417651173,5.0,3,5.0,1975,0.211401214,9,0,900.0,0,1,122017.66964650506,True,True,True
10626,44,1.0,38.44138160729067,20.450657961053672,9.0,11,12.0,1972,0.036122292,24,0,1036.0,1,1,203275.6843611061,True,True,True
12719,53,2.0,57.92193179996679,37.71408817310501,10.0,11,24.0,2019,0.049637257,34,0,229.0,1,3,346494.28358580195,True,True,True
6556,111,2.0,57.65836071930564,30.79083454609429,9.0,12,21.0,2010,0.093442564,23,5,900.0,2,4,400989.1936170312,True,True,True
12870,2,1.0,35.33494896234025,22.146378173439302,5.0,2,5.0,1968,0.309479124,35,4,990.0,0,6,158806.98113840097,True,True,True
7682,9,3.0,79.8304393653747,48.26503036322548,10.0,5,14.0,1993,0.161531741,25,1,30.0,2,4,246800.1553129698,True,True,True
9880,27,1.0,48.17595936327145,20.282927821240865,16.0,2,14.0,2011,0.051815435,5,0,900.0,0,0,131073.65850509165,True,True,True
12868,73,2.0,60.923521797016726,39.4872032056718,7.0,9,16.0,2007,0.042031587,37,84,900.0,2,5,426593.2611530737,True,True,True
11805,6,1.0,42.73088405699087,32.781260192155735,1.0,17,17.0,1977,0.243204519,5,0,540.0,0,0,129409.39379445463,True,True,True
15252,23,1.0,54.42906662438479,32.781260192155735,0.0,4,9.0,1977,0.014072961,2,0,900.0,0,0,106429.78223028067,True,True,True
2426,0,1.0,33.23785681524543,21.76183015630745,7.0,5,9.0,1971,0.319809354,25,16,900.0,5,8,162322.78401128948,True,True,True
14492,0,2.0,62.96215577391354,37.043238253777616,10.0,10,22.0,2007,0.319809354,25,16,900.0,5,8,334328.5902203312,True,True,True
4427,74,2.0,91.9731043755259,50.89031824854676,14.0,17,23.0,2010,0.371148999,34,1,750.0,2,5,383841.928038505,True,True,True
455,70,3.0,72.74561437112334,44.34744174205871,8.0,18,22.0,1982,0.002211665,39,3,900.0,1,5,408096.4012791789,True,True,False
10083,1,3.0,85.84933953218057,32.781260192155735,1.0,6,17.0,1977,0.007122317,1,0,900.0,0,1,306428.78625142964,True,True,True
11251,22,1.0,38.70469772701925,21.99360966996288,10.0,9,22.0,1991,0.133215333,49,3,1406.0,3,4,215837.93518619105,True,True,False
15794,23,3.0,84.11329772859439,32.781260192155735,1.0,2,17.0,1977,0.075778755,6,3,900.0,0,2,187489.9514196116,True,True,True
9747,98,1.0,36.619478265465546,20.91962279218924,5.0,5,5.0,1962,0.195781053,23,6,900.0,3,2,165514.75643159472,True,True,True
12361,32,2.0,56.59899003240752,50.897239805974806,6.0,5,12.0,1974,0.135649789,46,6,350.0,3,11,238770.3612759979,True,True,True
15286,129,2.0,52.29574846647528,27.71614902281858,10.0,1,16.0,1983,0.460556389,20,14,900.0,1,5,274828.72553545807,True,True,True
14798,0,3.0,69.46284929292193,47.85532008337404,7.0,2,9.0,1973,0.006076152,30,0,645.0,6,6,182373.32483135405,True,True,True
2136,74,2.0,84.68773160202026,81.90555163617604,0.0,12,17.0,2017,0.075778755,6,3,900.0,0,2,243479.876105312,True,True,True
1958,55,1.0,42.49912908286633,21.16455605197646,10.0,16,22.0,1987,0.041365446,31,0,900.0,1,4,151976.07035832485,True,True,True
10541,101,2.0,43.59915912377025,33.84111314076314,4.0,2,5.0,1963,0.225824954,41,7,1548.0,3,2,180026.27472052464,False,True,True
2457,138,1.0,34.14818671808891,24.110366821077672,5.0,9,9.0,1962,0.014423114,19,4,900.0,0,3,86647.80337071385,True,True,True
13779,66,1.0,56.83864164506545,22.42664316372609,14.0,14,17.0,2003,0.111627393,50,8,900.0,2,3,338588.2539418333,True,True,True
4111,3,2.0,48.379943517636725,30.593074538395143,6.0,6,12.0,1972,0.050900058,43,1,30.0,2,3,183744.9522402997,True,True,True
1536,66,1.0,43.38387035556698,23.842388748655853,8.0,4,19.0,1997,0.111627393,50,8,900.0,2,3,218638.332450608,True,True,True
2574,159,2.0,43.43936712108261,29.3288878969512,6.0,5,8.0,1935,0.246623602,14,45,900.0,3,6,288674.66598856176,True,True,True
5810,8,1.0,43.48887104835912,19.146727692172185,8.0,8,14.0,2009,0.458174486,26,1,1130.0,1,5,203558.797804496,True,False,True
4617,27,1.0,40.78769821197169,24.479648821827865,10.0,8,19.0,2019,0.211401214,9,0,900.0,0,1,96245.51614622868,True,True,True
7185,50,2.0,39.57262702752751,26.557939777551702,5.0,7,9.0,1968,0.037316452,32,93,562.0,4,10,242067.73485957985,True,True,True
2833,70,1.0,35.79476689875042,21.70136515041393,6.0,9,9.0,1977,0.002211665,39,3,900.0,1,5,155814.3480442097,True,True,False
3482,49,2.0,42.84224608019795,23.535359145650915,7.0,9,12.0,1973,0.020741326,24,5,1340.0,2,5,218712.8880291168,True,True,True
6265,11,1.0,44.69654225370815,21.42797545028509,8.0,10,12.0,1977,0.0001696759999999,36,0,900.0,1,1,183355.86239288465,True,True,True
16499,103,2.0,45.78468770945803,30.481245890947427,5.0,4,11.0,1970,0.014423114,19,4,900.0,0,3,225146.01933084623,True,True,True
9781,21,1.0,35.53777653095669,22.064536104850717,5.0,4,5.0,1967,0.194489265,47,3,125.0,3,5,151281.5993872346,True,True,True
10508,1,1.0,43.273066847467305,23.26990963229463,8.0,4,14.0,1988,0.025609157,33,0,240.0,3,1,139450.92630701596,True,True,True
15415,52,2.0,52.34681243448522,29.58860342407135,8.0,8,14.0,1989,0.371148999,34,1,750.0,2,5,198597.31064090444,True,True,True
6627,36,3.0,86.59411617701134,54.695268844141246,10.0,7,17.0,2008,0.08761909,8,5,900.0,1,0,85537.73540463713,True,True,True
15045,127,1.0,35.55126477816215,15.418166439952708,9.0,3,9.0,1962,0.486245621,13,19,900.0,0,6,150063.02483891492,True,True,True
8355,6,1.0,50.34787925259519,32.781260192155735,1.0,10,17.0,1977,0.243204519,5,0,540.0,0,0,137283.78224619754,True,True,True
14710,27,2.0,51.31635813486714,32.781260192155735,1.0,8,17.0,1977,0.011654127,4,0,900.0,0,0,149654.18549525086,True,True,True
12177,6,3.0,74.36846557094533,64.76951698250433,1.0,14,17.0,2017,0.243204519,5,0,540.0,0,0,207709.84985207857,True,True,True
11760,28,1.0,32.678707507861965,18.58068296595189,5.0,3,5.0,1967,0.333891544,30,1,900.0,0,0,141756.75371125556,True,True,True
643,83,3.0,63.868017289041966,40.99230135430807,7.0,4,9.0,1978,0.0077202819999999,38,2,900.0,0,4,280930.70240196696,True,True,True
5486,21,1.0,32.70465203945279,19.045512120612603,5.0,6,9.0,1964,0.034331497,25,3,900.0,0,4,181779.72035129264,True,True,True
5715,22,1.0,32.198351263001946,19.04384592418408,6.0,4,5.0,1959,0.000995363,42,1,900.0,1,5,139400.08894951578,True,True,True
9450,9,1.0,38.46080747913914,19.31622325528808,8.0,5,17.0,1996,0.069753361,53,4,900.0,1,11,176552.02065422348,True,True,True
2510,27,1.0,38.73793051716,24.1781193648755,8.0,14,14.0,2005,0.041116354,53,4,900.0,1,4,182642.3555182136,True,True,True
8192,27,3.0,84.27405526001205,50.50537947999476,8.0,7,9.0,1997,0.041116354,53,4,900.0,1,4,291518.5452160943,True,True,True
1182,27,1.0,38.936986471822365,3.064319711831724,0.0,18,19.0,2017,0.211401214,9,0,900.0,0,1,93560.78955317124,True,True,True
12216,1,2.0,67.02996197975142,32.781260192155735,1.0,6,17.0,1977,0.007122317,1,0,900.0,0,1,204406.32810804425,True,True,True
2329,29,1.0,35.23543046948644,22.00338836070161,9.0,4,9.0,1972,0.040242764,25,11,900.0,3,1,203629.57253165,True,True,True
10575,29,1.0,34.75773665897939,22.74136849211215,5.0,7,9.0,1966,0.069660344,31,4,900.0,1,2,97107.06214409885,True,True,True
13279,194,3.0,92.18395214820876,54.84811551163089,10.0,4,10.0,1956,0.174739084,17,9,100.0,0,3,478782.4884212888,True,True,True
3574,21,1.0,39.0835481331601,22.50309517061736,6.0,3,9.0,1972,0.194489265,47,3,125.0,3,5,148576.69268698507,True,True,True
4608,1,1.0,48.973083505776245,22.20185477053218,9.0,10,25.0,2013,0.007122317,1,0,900.0,0,1,114009.31115208686,True,True,True
7979,6,1.0,47.67127474585593,32.781260192155735,0.0,20,25.0,1977,0.243204519,5,0,540.0,0,0,143413.3417424934,True,True,True
1451,52,1.0,42.25405828646817,18.508004575059623,7.0,2,17.0,2009,0.371148999,34,1,750.0,2,5,177126.69377839644,True,True,True
11415,47,3.0,82.01145040041747,32.781260192155735,1.0,6,17.0,2015,0.197367951,8,1,32.0,0,1,196429.6592377391,True,True,True
9070,99,1.0,41.96860478199604,21.394202944126945,9.0,10,14.0,1972,0.012338886,35,1,900.0,2,4,178829.1664497557,True,True,True
3746,62,1.0,46.72204151915695,1.944445716025533,1.0,11,12.0,2018,0.072157581,2,1,900.0,0,0,133721.1217146457,True,True,False
13727,27,3.0,47.82132103363831,47.01508270484098,1.0,10,25.0,1977,0.072157581,2,1,900.0,0,0,143244.41530669745,True,True,False
10091,2,3.0,61.17253288965153,38.58233133550867,6.0,2,9.0,1968,0.309479124,35,4,990.0,0,6,249400.9791719856,True,True,True
10190,8,2.0,52.96012517533724,30.426606787911503,7.0,6,14.0,1985,0.458174486,26,1,1130.0,1,5,211197.30254892263,True,False,True
7027,128,2.0,54.90161703439738,34.75362913323185,8.0,7,14.0,1994,0.0,27,0,30.0,2,8,213343.6886695325,True,True,True
4703,27,3.0,80.4167838852223,42.09782720801042,1.0,7,14.0,2016,0.017647053,2,0,900.0,0,0,228740.42544231736,True,True,True
2424,8,3.0,80.29138820280403,48.68498335403614,12.0,12,14.0,2005,0.43788524,23,3,1084.0,0,5,337450.04726223927,True,True,True
557,12,2.0,57.1543609249502,35.82195230555017,9.0,9,14.0,1995,0.090799103,74,2,900.0,5,15,239606.5015927873,True,True,True
10351,70,1.0,38.32929735937432,22.67092880284657,7.0,6,17.0,2003,0.002211665,39,3,900.0,1,5,246254.90218986355,True,True,False
10813,11,2.0,43.15841677521132,28.49570992665808,5.0,2,5.0,1962,0.038692987,28,1,1015.0,2,5,184141.49177498737,True,True,True
1098,101,1.0,23.015918860017628,15.739110259916773,3.0,3,5.0,1967,0.225824954,41,7,1548.0,3,2,132427.98762138336,False,True,True
203,33,4.0,101.55425152771708,22.63037311735018,9.0,4,5.0,1958,0.051942062,17,7,800.0,2,0,82342.77587335401,True,True,True
14687,62,1.0,41.924161007341695,32.781260192155735,0.0,7,15.0,1977,0.072157581,2,1,900.0,0,0,111851.66026592258,True,True,False
